periodo;regiao_ars;ano;mes;ano_mes;estado_ano;episodios_urgencia;prioridade_verde_azul;taxa_internamento;tempo_medio_espera;tipo_agregacao
2016-12-05;Portugal Continental;2016;12;2016-12;parcial;21153.0;41.81129;7.590652;82.03045;nacional
2016-12-06;ARS Alentejo;2016;12;2016-12;parcial;1452.0;40.87302;9.722222;53.62428;regional
2016-12-06;ARS Algarve;2016;12;2016-12;parcial;776.0;39.30412;6.829897;;regional
2016-12-06;ARS Centro;2016;12;2016-12;parcial;3620.0;34.6494;8.661417;65.20609;regional
2016-12-06;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;7516.0;47.86362;7.725838;91.25089;regional
2016-12-06;ARS Norte;2016;12;2016-12;parcial;6417.0;36.92235;8.315936;75.41274;regional
2016-12-06;Portugal Continental;2016;12;2016-12;parcial;19781.0;41.01188;8.175315;78.374;nacional
2016-12-07;ARS Alentejo;2016;12;2016-12;parcial;1336.0;44.00466;11.87427;41.56652;regional
2016-12-07;ARS Algarve;2016;12;2016-12;parcial;803.0;41.59402;7.240437;;regional
2016-12-07;ARS Centro;2016;12;2016-12;parcial;3279.0;35.86087;8.519464;69.21725;regional
2016-12-07;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;7015.0;47.59994;8.200231;74.83517;regional
2016-12-07;ARS Norte;2016;12;2016-12;parcial;6257.0;36.07247;8.97459;60.3217;regional
2016-12-07;Portugal Continental;2016;12;2016-12;parcial;18690.0;41.03384;8.674375;66.49257;nacional
2016-12-08;ARS Alentejo;2016;12;2016-12;parcial;1228.0;43.16808;9.310761;38.84;regional
2016-12-08;ARS Algarve;2016;12;2016-12;parcial;718.0;43.17549;8.252427;;regional
2016-12-08;ARS Centro;2016;12;2016-12;parcial;2983.0;36.22469;7.883153;48.83585;regional
2016-12-08;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;6145.0;47.12339;7.8203;71.81239;regional
2016-12-08;ARS Norte;2016;12;2016-12;parcial;5561.0;36.27806;7.5;51.872;regional
2016-12-08;Portugal Continental;2016;12;2016-12;parcial;16635.0;40.95859;7.827803;58.12971;nacional
2016-12-09;ARS Alentejo;2016;12;2016-12;parcial;1488.0;40.37512;7.897335;51.79961;regional
2016-12-09;ARS Algarve;2016;12;2016-12;parcial;741.0;36.03239;7.744108;60.81088;regional
2016-12-09;ARS Centro;2016;12;2016-12;parcial;3391.0;35.49915;8.740106;67.31544;regional
2016-12-09;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;6961.0;45.27153;8.491924;83.77763;regional
2016-12-09;ARS Norte;2016;12;2016-12;parcial;6329.0;37.32316;8.913549;61.2476;regional
2016-12-09;Portugal Continental;2016;12;2016-12;parcial;18910.0;40.06204;8.617027;69.75233;nacional
2016-12-10;ARS Alentejo;2016;12;2016-12;parcial;1289.0;41.69611;8.951708;49.48843;regional
2016-12-10;ARS Algarve;2016;12;2016-12;parcial;672.0;32.14286;8.401977;82.42179;regional
2016-12-10;ARS Centro;2016;12;2016-12;parcial;2937.0;37.05133;10.11561;51.88174;regional
2016-12-10;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;6339.0;46.42676;7.786885;74.11356;regional
2016-12-10;ARS Norte;2016;12;2016-12;parcial;5545.0;36.38506;9.230446;51.94868;regional
2016-12-10;Portugal Continental;2016;12;2016-12;parcial;16782.0;40.4258;8.792489;61.53142;nacional
2016-12-11;ARS Alentejo;2016;12;2016-12;parcial;1208.0;43.92299;8.133333;39.23653;regional
2016-12-11;ARS Algarve;2016;12;2016-12;parcial;718.0;36.49025;7.653061;63.77717;regional
2016-12-11;ARS Centro;2016;12;2016-12;parcial;2988.0;37.73438;7.459832;45.95782;regional
