periodo;regiao_ars;ano;mes;ano_mes;estado_ano;episodios_urgencia;prioridade_verde_azul;taxa_internamento;tempo_medio_espera;tipo_agregacao
2017-05-30;Portugal Continental;2017;5;2017-05;completo;18736.0;40.994;7.839621;49.80313;nacional
2017-05-31;Portugal Continental;2017;5;2017-05;completo;17925.0;39.03081;8.430688;49.61365;nacional
2017-06-01;Portugal Continental;2017;6;2017-06;completo;17379.0;39.5562;8.39786;46.47822;nacional
2017-06-02;Portugal Continental;2017;6;2017-06;completo;17169.0;39.52765;8.959316;47.88379;nacional
2017-06-03;Portugal Continental;2017;6;2017-06;completo;15106.0;38.0;8.269647;42.17175;nacional
2017-06-04;Portugal Continental;2017;6;2017-06;completo;15463.0;39.01102;7.76824;37.00149;nacional
2017-06-05;Portugal Continental;2017;6;2017-06;completo;19188.0;41.0113;7.676262;45.50818;nacional
2017-06-06;Portugal Continental;2017;6;2017-06;completo;18055.0;38.30282;7.83023;48.70897;nacional
2017-06-07;Portugal Continental;2017;6;2017-06;completo;17756.0;40.10395;8.219349;47.9449;nacional
2017-06-08;Portugal Continental;2017;6;2017-06;completo;18080.0;39.31956;8.447036;50.67256;nacional
2017-06-09;Portugal Continental;2017;6;2017-06;completo;17263.0;39.9065;8.488283;50.42994;nacional
2017-06-10;Portugal Continental;2017;6;2017-06;completo;15877.0;38.46103;8.067308;40.85865;nacional
2017-06-11;Portugal Continental;2017;6;2017-06;completo;15954.0;39.00112;7.837211;37.39211;nacional
2017-06-12;Portugal Continental;2017;6;2017-06;completo;19666.0;41.09106;7.792061;58.10674;nacional
2017-06-13;Portugal Continental;2017;6;2017-06;completo;18471.0;39.3045;7.3947;49.09769;nacional
2017-06-14;Portugal Continental;2017;6;2017-06;completo;17997.0;39.65377;8.721567;51.66637;nacional
2017-06-15;Portugal Continental;2017;6;2017-06;completo;16315.0;39.75543;8.016679;40.17927;nacional
2017-06-16;Portugal Continental;2017;6;2017-06;completo;18236.0;39.98462;8.419795;52.19444;nacional
2017-06-17;Portugal Continental;2017;6;2017-06;completo;15973.0;39.24899;8.067743;44.43144;nacional
2017-06-18;Portugal Continental;2017;6;2017-06;completo;16220.0;38.38317;7.79257;40.36481;nacional
2017-06-19;Portugal Continental;2017;6;2017-06;completo;19891.0;39.85885;7.439112;52.06254;nacional
2017-06-20;Portugal Continental;2017;6;2017-06;completo;18552.0;39.37284;8.556565;53.81383;nacional
2017-06-21;Portugal Continental;2017;6;2017-06;completo;18342.0;40.48409;8.040504;50.72409;nacional
2017-06-22;Portugal Continental;2017;6;2017-06;completo;17872.0;39.46056;8.391652;50.38501;nacional
2017-06-23;Portugal Continental;2017;6;2017-06;completo;17169.0;39.21854;9.021327;50.18187;nacional
2017-06-24;Portugal Continental;2017;6;2017-06;completo;16363.0;40.05473;8.496638;43.07833;nacional
2017-06-25;Portugal Continental;2017;6;2017-06;completo;16295.0;38.79247;7.209156;43.06906;nacional
2017-06-26;Portugal Continental;2017;6;2017-06;completo;19012.0;40.0584;7.949564;50.65666;nacional
2017-06-27;Portugal Continental;2017;6;2017-06;completo;17655.0;39.9963;8.32381;51.0047;nacional
2017-06-28;Portugal Continental;2017;6;2017-06;completo;17029.0;40.77285;7.898546;47.36852;nacional
2017-06-29;Portugal Continental;2017;6;2017-06;completo;16082.0;40.40173;8.559131;44.81565;nacional
2017-06-30;Portugal Continental;2017;6;2017-06;completo;15806.0;39.7655;8.872937;45.34319;nacional
2017-07-01;Portugal Continental;2017;7;2017-07;completo;14541.0;39.02458;8.802701;40.07674;nacional
2017-07-02;Portugal Continental;2017;7;2017-07;completo;14662.0;38.91444;8.425685;34.98303;nacional
2017-07-03;Portugal Continental;2017;7;2017-07;completo;18438.0;40.77274;8.299048;49.7674;nacional
2017-07-04;Portugal Continental;2017;7;2017-07;completo;17355.0;39.78159;8.942807;48.64375;nacional
2017-07-05;Portugal Continental;2017;7;2017-07;completo;17306.0;39.30842;9.043893;46.99089;nacional
2017-07-06;Portugal Continental;2017;7;2017-07;completo;16860.0;39.01468;8.504764;49.37334;nacional
2017-07-07;Portugal Continental;2017;7;2017-07;completo;16506.0;38.43838;8.75851;45.08691;nacional
2017-07-08;Portugal Continental;2017;7;2017-07;completo;15852.0;38.98112;8.276912;42.55939;nacional
2017-07-09;Portugal Continental;2017;7;2017-07;completo;15277.0;38.56476;7.785984;39.99225;nacional
2017-07-10;Portugal Continental;2017;7;2017-07;completo;18807.0;41.07036;8.188819;49.47863;nacional
2017-07-11;Portugal Continental;2017;7;2017-07;completo;17623.0;39.2666;8.22883;48.81499;nacional
2017-07-12;Portugal Continental;2017;7;2017-07;completo;17089.0;39.03183;8.777264;49.1432;nacional
2017-07-13;Portugal Continental;2017;7;2017-07;completo;17317.0;40.1535;8.673436;48.7479;nacional
2017-07-14;Portugal Continental;2017;7;2017-07;completo;17121.0;38.97384;8.950597;51.24795;nacional
2017-07-15;Portugal Continental;2017;7;2017-07;completo;15817.0;37.41081;8.219376;40.20636;nacional
2017-07-16;Portugal Continental;2017;7;2017-07;completo;15943.0;39.19361;7.248488;37.74878;nacional
2017-07-17;Portugal Continental;2017;7;2017-07;completo;19639.0;40.24756;7.715565;51.66964;nacional
